"MTU","Scheduled Generation [MW] (D) - BZN|DE-AT-LU","Scheduled Consumption [MW] (D) - BZN|DE-AT-LU"
"01.01.2017 00:00 - 01.01.2017 01:00 (UTC)","54726","0"
"01.01.2017 01:00 - 01.01.2017 02:00 (UTC)","54171","0"
"01.01.2017 02:00 - 01.01.2017 03:00 (UTC)","54069","0"
"01.01.2017 03:00 - 01.01.2017 04:00 (UTC)","53520","0"
"01.01.2017 04:00 - 01.01.2017 05:00 (UTC)","53132","0"
"01.01.2017 05:00 - 01.01.2017 06:00 (UTC)","52798","0"
"01.01.2017 06:00 - 01.01.2017 07:00 (UTC)","53820","0"
"01.01.2017 07:00 - 01.01.2017 08:00 (UTC)","55928","0"
"01.01.2017 08:00 - 01.01.2017 09:00 (UTC)","61155","0"
"01.01.2017 09:00 - 01.01.2017 10:00 (UTC)","66003","0"
"01.01.2017 10:00 - 01.01.2017 11:00 (UTC)","69980","0"
"01.01.2017 11:00 - 01.01.2017 12:00 (UTC)","70609","0"
"01.01.2017 12:00 - 01.01.2017 13:00 (UTC)","67753","0"
"01.01.2017 13:00 - 01.01.2017 14:00 (UTC)","62836","0"
"01.01.2017 14:00 - 01.01.2017 15:00 (UTC)","59422","0"
"01.01.2017 15:00 - 01.01.2017 16:00 (UTC)","59626","0"
"01.01.2017 16:00 - 01.01.2017 17:00 (UTC)","63076","0"
"01.01.2017 17:00 - 01.01.2017 18:00 (UTC)","64184","0"
"01.01.2017 18:00 - 01.01.2017 19:00 (UTC)","63428","0"
"01.01.2017 19:00 - 01.01.2017 20:00 (UTC)","61035","0"
"01.01.2017 20:00 - 01.01.2017 21:00 (UTC)","58831","0"
"01.01.2017 21:00 - 01.01.2017 22:00 (UTC)","58180","0"
"01.01.2017 22:00 - 01.01.2017 23:00 (UTC)","55576","0"
"01.01.2017 23:00 - 02.01.2017 00:00 (UTC)","52590","0"
"02.01.2017 00:00 - 02.01.2017 01:00 (UTC)","51446","0"
"02.01.2017 01:00 - 02.01.2017 02:00 (UTC)","52284","0"
"02.01.2017 02:00 - 02.01.2017 03:00 (UTC)","52473","0"
"02.01.2017 03:00 - 02.01.2017 04:00 (UTC)","54039","0"
"02.01.2017 04:00 - 02.01.2017 05:00 (UTC)","55935","0"
"02.01.2017 05:00 - 02.01.2017 06:00 (UTC)","62173","0"
"02.01.2017 06:00 - 02.01.2017 07:00 (UTC)","69865","0"
"02.01.2017 07:00 - 02.01.2017 08:00 (UTC)","74920","0"
"02.01.2017 08:00 - 02.01.2017 09:00 (UTC)","77194","0"
"02.01.2017 09:00 - 02.01.2017 10:00 (UTC)","78335","0"
"02.01.2017 10:00 - 02.01.2017 11:00 (UTC)","79618","0"
"02.01.2017 11:00 - 02.01.2017 12:00 (UTC)","79533","0"
"02.01.2017 12:00 - 02.01.2017 13:00 (UTC)","79262","0"
"02.01.2017 13:00 - 02.01.2017 14:00 (UTC)","77788","0"
"02.01.2017 14:00 - 02.01.2017 15:00 (UTC)","77564","0"
"02.01.2017 15:00 - 02.01.2017 16:00 (UTC)","78625","0"
"02.01.2017 16:00 - 02.01.2017 17:00 (UTC)","80531","0"
"02.01.2017 17:00 - 02.01.2017 18:00 (UTC)","80007","0"
"02.01.2017 18:00 - 02.01.2017 19:00 (UTC)","78783","0"
"02.01.2017 19:00 - 02.01.2017 20:00 (UTC)","74716","0"
"02.01.2017 20:00 - 02.01.2017 21:00 (UTC)","71500","0"
"02.01.2017 21:00 - 02.01.2017 22:00 (UTC)","67791","0"
"02.01.2017 22:00 - 02.01.2017 23:00 (UTC)","62052","0"
"02.01.2017 23:00 - 03.01.2017 00:00 (UTC)","58946","0"
"03.01.2017 00:00 - 03.01.2017 01:00 (UTC)","57443","0"
"03.01.2017 01:00 - 03.01.2017 02:00 (UTC)","56763","0"
"03.01.2017 02:00 - 03.01.2017 03:00 (UTC)","57682","0"
"03.01.2017 03:00 - 03.01.2017 04:00 (UTC)","58248","0"
"03.01.2017 04:00 - 03.01.2017 05:00 (UTC)","60062","0"
"03.01.2017 05:00 - 03.01.2017 06:00 (UTC)","67270","0"
"03.01.2017 06:00 - 03.01.2017 07:00 (UTC)","75006","0"
"03.01.2017 07:00 - 03.01.2017 08:00 (UTC)","79985","0"
"03.01.2017 08:00 - 03.01.2017 09:00 (UTC)","81341","0"
"03.01.2017 09:00 - 03.01.2017 10:00 (UTC)","82479","0"
"03.01.2017 10:00 - 03.01.2017 11:00 (UTC)","83468","0"
"03.01.2017 11:00 - 03.01.2017 12:00 (UTC)","85208","0"
"03.01.2017 12:00 - 03.01.2017 13:00 (UTC)","84369","0"
"03.01.2017 13:00 - 03.01.2017 14:00 (UTC)","82749","0"
"03.01.2017 14:00 - 03.01.2017 15:00 (UTC)","82297","0"
"03.01.2017 15:00 - 03.01.2017 16:00 (UTC)","82554","0"
"03.01.2017 16:00 - 03.01.2017 17:00 (UTC)","85277","0"
"03.01.2017 17:00 - 03.01.2017 18:00 (UTC)","85265","0"
"03.01.2017 18:00 - 03.01.2017 19:00 (UTC)","84111","0"
"03.01.2017 19:00 - 03.01.2017 20:00 (UTC)","81516","0"
"03.01.2017 20:00 - 03.01.2017 21:00 (UTC)","78864","0"
"03.01.2017 21:00 - 03.01.2017 22:00 (UTC)","76906","0"
"03.01.2017 22:00 - 03.01.2017 23:00 (UTC)","73841","0"
"03.01.2017 23:00 - 04.01.2017 00:00 (UTC)","71873","0"
"04.01.2017 00:00 - 04.01.2017 01:00 (UTC)","69932","0"
"04.01.2017 01:00 - 04.01.2017 02:00 (UTC)","69416","0"
"04.01.2017 02:00 - 04.01.2017 03:00 (UTC)","69368","0"
"04.01.2017 03:00 - 04.01.2017 04:00 (UTC)","69544","0"
"04.01.2017 04:00 - 04.01.2017 05:00 (UTC)","70923","0"
"04.01.2017 05:00 - 04.01.2017 06:00 (UTC)","77434","0"
"04.01.2017 06:00 - 04.01.2017 07:00 (UTC)","82319","0"
"04.01.2017 07:00 - 04.01.2017 08:00 (UTC)","84884","0"
