;load_VE_austria;load_VE_belgium;load_VE_switzerland;load_VE_germany;load_VE_danemark;load_VE_spain;load_VE_france;load_VE_england;load_VE_ireland;load_VE_italy;load_VE_luxembourg;load_VE_netherlands;load_VE_norway;load_VE_portugal;load_VE_sweden;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;hour00;hour01;hour02;hour03;hour04;hour05;hour06;hour07;hour08;hour09;hour10;hour11;hour12;hour13;hour14;hour15;hour16;hour17;hour18;hour19;hour20;hour21;hour22;hour23
septembre;-0.072803639;-0.068400405;-0.132379866;-0.044317626;-0.068449697;-0.015386119;-0.191358444;-0.091776269;-0.069918755;0.029896604;0.039670379;-0.036197633;-0.212979078;-0.022933145;-0.168793787;-0.002437242;-0.002205903;-0.002421156;-0.001990932;0.002906501;0.003555764;0.002601247;-0.093956373;-0.088927637;-0.09485891;-0.092760545;-0.094467673;-0.093168204;-0.09369411;-0.086059291;1;-0.075857914;-0.074342901;-0.075581634;-7.75E-05;-0.000512162;-0.000329529;-0.000203624;-0.001015049;-0.000609336;0.000233705;-7.75E-05;-0.000109031;0.000487205;-7.32E-05;0.000582529;0.000487205;0.000550738;-0.00023133;0.000112237;-1.43E-05;0.000170488;-4.59E-05;0.000423735;0.000518964;-0.000109031;0.000296985;-0.000452108
octobre;-0.012504287;-0.002499873;0.013417988;-0.003911271;-0.003008214;-0.08800871;-0.073377086;-0.022129965;-0.019165731;-0.031647892;0.075334916;0.007724857;-0.023528422;-0.065981962;-0.024276861;0.001484621;0.002288645;-0.003700087;0.000451341;-0.006191238;0.001493875;0.004175684;-0.084501853;-0.079979141;-0.08531357;-0.083426356;-0.084961702;-0.083792994;-0.08426598;-0.077399428;-0.075857914;1;-0.066862019;-0.067976102;-0.001555797;-0.000772339;0.005323787;0.000109819;0.000109819;0.000109819;-0.000306274;-0.00022127;0.000195113;0.000366083;0.000594845;0.000897494;0.000366083;-0.000468054;6.03E-06;-0.000496391;-0.001499724;8.14E-05;0.000252046;0.000309036;-0.000496391;-0.000249619;-0.001139082;-0.001527767
novembre;0.103255125;0.096443761;0.097001199;0.089994075;0.087742992;0.005962644;0.136298196;0.094915591;0.090028571;0.008953207;0.073227403;0.088460926;0.187411425;0.014479801;0.143749179;-0.000674032;-0.00088019;0.0054364;-0.006382682;0.000827431;0.000897855;0.000763527;-0.082814205;-0.07838182;-0.083609711;-0.081760188;-0.08326487;-0.082119504;-0.082583043;-0.075853628;-0.074342901;-0.066862019;1;-0.066618503;0.000474855;0.000811408;0.000251606;0.000363119;0.000363119;0.000363119;0.000843455;0.000927616;0.000899549;-0.000745141;-0.000523163;-0.001115671;-0.000745141;-0.001143284;-0.001569338;-0.000264002;0.000530807;0.00033522;-0.001308673;0.000558803;-0.000264002;0.0004469;-5.75E-06;0.000502824
décembre;0.119585013;0.099705453;0.166328625;0.031031412;0.081958264;0.012498683;0.242645032;0.095900802;0.086225684;-0.013232286;0.020926527;0.101006665;0.238475285;0.061687769;0.185635281;-0.00211869;0.003789387;-0.003490293;0.003731364;0.002940284;-0.003123599;-0.001718995;-0.084194091;-0.079687851;-0.085002851;-0.083122512;-0.084652265;-0.083487814;-0.083959077;-0.077117534;-0.075581634;-0.067976102;-0.066618503;1;0.000150281;-0.001298969;-7.60E-05;3.70E-05;3.70E-05;3.70E-05;6.53E-05;0.000150281;0.000121943;-0.000154637;-0.000375465;-6.97E-05;-0.000154637;0.000349042;0.000377494;0.000320605;-0.000239485;8.73E-06;0.000178632;0.000235379;-0.000126325;0.000121943;0.000121943;0.000178632
hour00;-0.20718653;-0.185516311;-0.112096893;-0.235894123;-0.252336212;-0.209931315;-0.0862973;-0.202611357;-0.161925238;-0.224371316;-0.086844844;-0.212071615;-0.104300111;-0.153883116;-0.136285485;0.000394344;0.00053626;0.000211945;0.00038135;-0.000370252;0.000199606;-0.001355501;0.000102781;-0.00016097;3.94E-05;-0.000207322;0.000548482;1.10E-05;0.000444583;7.13E-05;-7.75E-05;-0.001555797;0.000474855;0.000150281;1;-0.043381372;-0.043618279;-0.043570984;-0.043570984;-0.043570984;-0.043559153;-0.043523645;-0.043535484;-0.043464412;-0.043369499;-0.04342884;-0.043464412;-0.0434407;-0.04342884;-0.043452557;-0.04349996;-0.043582811;-0.043511804;-0.043488113;-0.043452557;-0.043535484;-0.043535484;-0.043511804
hour01;-0.231149761;-0.222934177;-0.100378414;-0.247633843;-0.257872136;-0.244944499;-0.120923236;-0.218177324;-0.220002845;-0.240781242;-0.131049311;-0.23256514;-0.10953676;-0.204500343;-0.139547225;0.000305892;0.001384298;0.000437397;-0.000330817;0.000162182;-0.000511337;-0.001449998;-0.000218413;0.00062912;-0.000272179;0.000210204;-0.000507578;0.000431047;0.000868278;0.000459479;-0.000512162;-0.000772339;0.000811408;-0.001298969;-0.043381372;1;-0.043475697;-0.043428556;-0.043428556;-0.043428556;-0.043416764;-0.043381372;-0.043393172;-0.043322333;-0.04322773;-0.043286877;-0.043322333;-0.043298698;-0.043286877;-0.043310517;-0.043357765;-0.043440345;-0.04336957;-0.043345957;-0.043310517;-0.043393172;-0.043393172;-0.04336957
hour02;-0.243981205;-0.239997383;-0.099075242;-0.244137513;-0.254979465;-0.263377598;-0.149272262;-0.249286866;-0.261286808;-0.245426134;-0.153968952;-0.242728909;-0.110125653;-0.236298367;-0.140082792;3.92E-05;0.00049054;-0.000453612;-0.000284104;-0.000723443;-0.000465653;0.001398399;-0.000178377;-3.88E-05;-0.002819013;-0.000484288;-0.000104134;-0.000640803;0.000163529;-0.000186159;-0.000329529;0.005323787;0.000251606;-7.60E-05;-0.043618279;-0.043475697;1;-0.04366572;-0.04366572;-0.04366572;-0.043653864;-0.043618279;-0.043630143;-0.043558917;-0.043463797;-0.043523267;-0.043558917;-0.043535153;-0.043523267;-0.043547036;-0.043594542;-0.043677574;-0.043606412;-0.04358267;-0.043547036;-0.043630143;-0.043630143;-0.043606412
hour03;-0.214444463;-0.227226681;-0.112777911;-0.214991967;-0.225185044;-0.260142013;-0.141526563;-0.264547543;-0.280077117;-0.230112804;-0.160988713;-0.236558529;-0.098507799;-0.249296018;-0.122386345;-9.40E-05;0.000668577;3.38E-05;-0.000107027;-0.000236109;2.18E-05;-0.000288015;-3.79E-05;9.42E-05;-0.000102609;-0.000345943;0.000406554;-0.000128421;0.000303916;-0.000456448;-0.000203624;0.000109819;0.000363119;3.70E-05;-0.043570984;-0.043428556;-0.04366572;1;-0.043618373;-0.043618373;-0.04360653;-0.043570984;-0.043582835;-0.043511686;-0.043416669;-0.043476075;-0.043511686;-0.043487948;-0.043476075;-0.043499818;-0.043547273;-0.043630214;-0.043559129;-0.043535413;-0.043499818;-0.043582835;-0.043582835;-0.043559129
hour04;-0.128902634;-0.175663588;-0.114051105;-0.145066647;-0.137663199;-0.21671624;-0.098639678;-0.271648255;-0.281322137;-0.173449609;-0.153682026;-0.200492187;-0.059151855;-0.251013224;-0.066338046;0.000216607;0.000668577;-0.00027612;0.00020361;-0.000236109;-0.000598897;2.28E-05;-3.79E-05;9.42E-05;0.000265569;2.90E-05;3.71E-05;-0.000128421;0.000303916;-5.75E-05;-0.001015049;0.000109819;0.000363119;3.70E-05;-0.043570984;-0.043428556;-0.04366572;-0.043618373;1;-0.043618373;-0.04360653;-0.043570984;-0.043582835;-0.043511686;-0.043416669;-0.043476075;-0.043511686;-0.043487948;-0.043476075;-0.043499818;-0.043547273;-0.043630214;-0.043559129;-0.043535413;-0.043499818;-0.043582835;-0.043582835;-0.043559129
hour05;-0.012115475;-0.074008403;-0.086693854;-0.045734195;-0.006916608;-0.133855732;-0.033668806;-0.216272403;-0.265472273;-0.066088709;-0.123410113;-0.109765202;0.002598995;-0.238350651;0.010857003;0.000216607;0.000358177;3.38E-05;0.00020361;-0.000547023;2.18E-05;-0.000288015;-3.79E-05;9.42E-05;0.000265569;-0.000345943;3.71E-05;-0.000128421;0.000303916;-5.75E-05;-0.000609336;0.000109819;0.000363119;3.70E-05;-0.043570984;-0.043428556;-0.04366572;-0.043618373;-0.043618373;1;-0.04360653;-0.043570984;-0.043582835;-0.043511686;-0.043416669;-0.043476075;-0.043511686;-0.043487948;-0.043476075;-0.043499818;-0.043547273;-0.043630214;-0.043559129;-0.043535413;-0.043499818;-0.043582835;-0.043582835;-0.043559129
