"MTU","Scheduled Generation [MW] (D) - BZN|DE-AT-LU","Scheduled Consumption [MW] (D) - BZN|DE-AT-LU"
"05.01.2015 16:00 - 05.01.2015 17:00 (UTC)","84862","0"
"05.01.2015 17:00 - 05.01.2015 18:00 (UTC)","85330","0"
"05.01.2015 18:00 - 05.01.2015 19:00 (UTC)","84898","0"
"05.01.2015 19:00 - 05.01.2015 20:00 (UTC)","80152","0"
"05.01.2015 20:00 - 05.01.2015 21:00 (UTC)","76251","0"
"05.01.2015 21:00 - 05.01.2015 22:00 (UTC)","73819","0"
"05.01.2015 22:00 - 05.01.2015 23:00 (UTC)","70496","0"
"05.01.2015 23:00 - 06.01.2015 00:00 (UTC)","60374","0"
"06.01.2015 00:00 - 06.01.2015 01:00 (UTC)","57893","0"
"06.01.2015 01:00 - 06.01.2015 02:00 (UTC)","57178","0"
"06.01.2015 02:00 - 06.01.2015 03:00 (UTC)","56798","0"
"06.01.2015 03:00 - 06.01.2015 04:00 (UTC)","57179","0"
"06.01.2015 04:00 - 06.01.2015 05:00 (UTC)","59948","0"
"06.01.2015 05:00 - 06.01.2015 06:00 (UTC)","65256","0"
"06.01.2015 06:00 - 06.01.2015 07:00 (UTC)","71102","0"
"06.01.2015 07:00 - 06.01.2015 08:00 (UTC)","74450","0"
"06.01.2015 08:00 - 06.01.2015 09:00 (UTC)","77286","0"
"06.01.2015 09:00 - 06.01.2015 10:00 (UTC)","80967","0"
"06.01.2015 10:00 - 06.01.2015 11:00 (UTC)","83716","0"
"06.01.2015 11:00 - 06.01.2015 12:00 (UTC)","84036","0"
"06.01.2015 12:00 - 06.01.2015 13:00 (UTC)","82130","0"
"06.01.2015 13:00 - 06.01.2015 14:00 (UTC)","78779","0"
"06.01.2015 14:00 - 06.01.2015 15:00 (UTC)","76136","0"
"06.01.2015 15:00 - 06.01.2015 16:00 (UTC)","76583","0"
"06.01.2015 16:00 - 06.01.2015 17:00 (UTC)","79421","0"
"06.01.2015 17:00 - 06.01.2015 18:00 (UTC)","79994","0"
"06.01.2015 18:00 - 06.01.2015 19:00 (UTC)","78969","0"
"06.01.2015 19:00 - 06.01.2015 20:00 (UTC)","76520","0"
"06.01.2015 20:00 - 06.01.2015 21:00 (UTC)","73026","0"
"06.01.2015 21:00 - 06.01.2015 22:00 (UTC)","70820","0"
"06.01.2015 22:00 - 06.01.2015 23:00 (UTC)","68215","0"
"06.01.2015 23:00 - 07.01.2015 00:00 (UTC)","67504","0"
"07.01.2015 00:00 - 07.01.2015 01:00 (UTC)","65623","0"
"07.01.2015 01:00 - 07.01.2015 02:00 (UTC)","64928","0"
"07.01.2015 02:00 - 07.01.2015 03:00 (UTC)","64793","0"
"07.01.2015 03:00 - 07.01.2015 04:00 (UTC)","65388","0"
"07.01.2015 04:00 - 07.01.2015 05:00 (UTC)","68978","0"
"07.01.2015 05:00 - 07.01.2015 06:00 (UTC)","77195","0"
"07.01.2015 06:00 - 07.01.2015 07:00 (UTC)","85282","0"
"07.01.2015 07:00 - 07.01.2015 08:00 (UTC)","88441","0"
"07.01.2015 08:00 - 07.01.2015 09:00 (UTC)","89458","0"
"07.01.2015 09:00 - 07.01.2015 10:00 (UTC)","91255","0"
"07.01.2015 10:00 - 07.01.2015 11:00 (UTC)","92698","0"
"07.01.2015 11:00 - 07.01.2015 12:00 (UTC)","92637","0"
"07.01.2015 12:00 - 07.01.2015 13:00 (UTC)","92654","0"
"07.01.2015 13:00 - 07.01.2015 14:00 (UTC)","90574","0"
"07.01.2015 14:00 - 07.01.2015 15:00 (UTC)","87615","0"
"07.01.2015 15:00 - 07.01.2015 16:00 (UTC)","87205","0"
"07.01.2015 16:00 - 07.01.2015 17:00 (UTC)","90690","0"
"07.01.2015 17:00 - 07.01.2015 18:00 (UTC)","89936","0"
"07.01.2015 18:00 - 07.01.2015 19:00 (UTC)","90504","0"
"07.01.2015 19:00 - 07.01.2015 20:00 (UTC)","86109","0"
"07.01.2015 20:00 - 07.01.2015 21:00 (UTC)","82117","0"
"07.01.2015 21:00 - 07.01.2015 22:00 (UTC)","78574","0"
"07.01.2015 22:00 - 07.01.2015 23:00 (UTC)","74891","0"
"07.01.2015 23:00 - 08.01.2015 00:00 (UTC)","71313","0"
"08.01.2015 00:00 - 08.01.2015 01:00 (UTC)","70004","0"
"08.01.2015 01:00 - 08.01.2015 02:00 (UTC)","69103","0"
"08.01.2015 02:00 - 08.01.2015 03:00 (UTC)","69215","0"
"08.01.2015 03:00 - 08.01.2015 04:00 (UTC)","71187","0"
"08.01.2015 04:00 - 08.01.2015 05:00 (UTC)","74172","0"
"08.01.2015 05:00 - 08.01.2015 06:00 (UTC)","80156","0"
"08.01.2015 06:00 - 08.01.2015 07:00 (UTC)","87595","0"
"08.01.2015 07:00 - 08.01.2015 08:00 (UTC)","91836","0"
"08.01.2015 08:00 - 08.01.2015 09:00 (UTC)","92337","0"
"08.01.2015 09:00 - 08.01.2015 10:00 (UTC)","92031","0"
"08.01.2015 10:00 - 08.01.2015 11:00 (UTC)","92928","0"
"08.01.2015 11:00 - 08.01.2015 12:00 (UTC)","92498","0"
"08.01.2015 12:00 - 08.01.2015 13:00 (UTC)","90914","0"
"08.01.2015 13:00 - 08.01.2015 14:00 (UTC)","89385","0"
"08.01.2015 14:00 - 08.01.2015 15:00 (UTC)","88191","0"
"08.01.2015 15:00 - 08.01.2015 16:00 (UTC)","87505","0"
"08.01.2015 16:00 - 08.01.2015 17:00 (UTC)","89625","0"
"08.01.2015 17:00 - 08.01.2015 18:00 (UTC)","89326","0"
"08.01.2015 18:00 - 08.01.2015 19:00 (UTC)","89315","0"
"08.01.2015 19:00 - 08.01.2015 20:00 (UTC)","84445","0"
"08.01.2015 20:00 - 08.01.2015 21:00 (UTC)","79067","0"
"08.01.2015 21:00 - 08.01.2015 22:00 (UTC)","76750","0"
"08.01.2015 22:00 - 08.01.2015 23:00 (UTC)","73656","0"
"08.01.2015 23:00 - 09.01.2015 00:00 (UTC)","71435","0"
"09.01.2015 00:00 - 09.01.2015 01:00 (UTC)","68707","0"
"09.01.2015 01:00 - 09.01.2015 02:00 (UTC)","68377","0"
"09.01.2015 02:00 - 09.01.2015 03:00 (UTC)","69494","0"
"09.01.2015 03:00 - 09.01.2015 04:00 (UTC)","71527","0"
"09.01.2015 04:00 - 09.01.2015 05:00 (UTC)","75625","0"
"09.01.2015 05:00 - 09.01.2015 06:00 (UTC)","82197","0"
"09.01.2015 06:00 - 09.01.2015 07:00 (UTC)","88611","0"
"09.01.2015 07:00 - 09.01.2015 08:00 (UTC)","92363","0"
"09.01.2015 08:00 - 09.01.2015 09:00 (UTC)","93883","0"
"09.01.2015 09:00 - 09.01.2015 10:00 (UTC)","93863","0"
"09.01.2015 10:00 - 09.01.2015 11:00 (UTC)","93509","0"
"09.01.2015 11:00 - 09.01.2015 12:00 (UTC)","92904","0"
"09.01.2015 12:00 - 09.01.2015 13:00 (UTC)","91623","0"
"09.01.2015 13:00 - 09.01.2015 14:00 (UTC)","90252","0"
"09.01.2015 14:00 - 09.01.2015 15:00 (UTC)","88743","0"
"09.01.2015 15:00 - 09.01.2015 16:00 (UTC)","88316","0"
"09.01.2015 16:00 - 09.01.2015 17:00 (UTC)","90403","0"
"09.01.2015 17:00 - 09.01.2015 18:00 (UTC)","88962","0"
"09.01.2015 18:00 - 09.01.2015 19:00 (UTC)","87716","0"
"09.01.2015 19:00 - 09.01.2015 20:00 (UTC)","83722","0"
"09.01.2015 20:00 - 09.01.2015 21:00 (UTC)","80903","0"
"09.01.2015 21:00 - 09.01.2015 22:00 (UTC)","78968","0"
"09.01.2015 22:00 - 09.01.2015 23:00 (UTC)","76082","0"
"09.01.2015 23:00 - 10.01.2015 00:00 (UTC)","71164","0"
"10.01.2015 00:00 - 10.01.2015 01:00 (UTC)","68719","0"
"10.01.2015 01:00 - 10.01.2015 02:00 (UTC)","66326","0"
"10.01.2015 02:00 - 10.01.2015 03:00 (UTC)","65829","0"
"10.01.2015 03:00 - 10.01.2015 04:00 (UTC)","65389","0"
"10.01.2015 04:00 - 10.01.2015 05:00 (UTC)","67283","0"
"10.01.2015 05:00 - 10.01.2015 06:00 (UTC)","69462","0"
"10.01.2015 06:00 - 10.01.2015 07:00 (UTC)","73900","0"
"10.01.2015 07:00 - 10.01.2015 08:00 (UTC)","78732","0"
"10.01.2015 08:00 - 10.01.2015 09:00 (UTC)","82486","0"
"10.01.2015 09:00 - 10.01.2015 10:00 (UTC)","84767","0"
"10.01.2015 10:00 - 10.01.2015 11:00 (UTC)","85855","0"
"10.01.2015 11:00 - 10.01.2015 12:00 (UTC)","85992","0"
"10.01.2015 12:00 - 10.01.2015 13:00 (UTC)","84172","0"
"10.01.2015 13:00 - 10.01.2015 14:00 (UTC)","81630","0"
"10.01.2015 14:00 - 10.01.2015 15:00 (UTC)","80312","0"
"10.01.2015 15:00 - 10.01.2015 16:00 (UTC)","81219","0"
"10.01.2015 16:00 - 10.01.2015 17:00 (UTC)","84922","0"
"10.01.2015 17:00 - 10.01.2015 18:00 (UTC)","85283","0"
"10.01.2015 18:00 - 10.01.2015 19:00 (UTC)","83410","0"
"10.01.2015 19:00 - 10.01.2015 20:00 (UTC)","78040","0"
"10.01.2015 20:00 - 10.01.2015 21:00 (UTC)","73606","0"
"10.01.2015 21:00 - 10.01.2015 22:00 (UTC)","71700","0"
"10.01.2015 22:00 - 10.01.2015 23:00 (UTC)","69451","0"
"10.01.2015 23:00 - 11.01.2015 00:00 (UTC)","65313","0"
"11.01.2015 00:00 - 11.01.2015 01:00 (UTC)","62569","0"
"11.01.2015 01:00 - 11.01.2015 02:00 (UTC)","61180","0"
"11.01.2015 02:00 - 11.01.2015 03:00 (UTC)","60798","0"
"11.01.2015 03:00 - 11.01.2015 04:00 (UTC)","60375","0"
"11.01.2015 04:00 - 11.01.2015 05:00 (UTC)","60396","0"
"11.01.2015 05:00 - 11.01.2015 06:00 (UTC)","61401","0"
"11.01.2015 06:00 - 11.01.2015 07:00 (UTC)","63657","0"
"11.01.2015 07:00 - 11.01.2015 08:00 (UTC)","67946","0"
"11.01.2015 08:00 - 11.01.2015 09:00 (UTC)","73832","0"
"11.01.2015 09:00 - 11.01.2015 10:00 (UTC)","79235","0"
"11.01.2015 10:00 - 11.01.2015 11:00 (UTC)","82892","0"
"11.01.2015 11:00 - 11.01.2015 12:00 (UTC)","83426","0"
"11.01.2015 12:00 - 11.01.2015 13:00 (UTC)","80634","0"
"11.01.2015 13:00 - 11.01.2015 14:00 (UTC)","77126","0"
"11.01.2015 14:00 - 11.01.2015 15:00 (UTC)","75296","0"
"11.01.2015 15:00 - 11.01.2015 16:00 (UTC)","75182","0"
"11.01.2015 16:00 - 11.01.2015 17:00 (UTC)","78169","0"
"11.01.2015 17:00 - 11.01.2015 18:00 (UTC)","79868","0"
"11.01.2015 18:00 - 11.01.2015 19:00 (UTC)","79032","0"
"11.01.2015 19:00 - 11.01.2015 20:00 (UTC)","77383","0"
"11.01.2015 20:00 - 11.01.2015 21:00 (UTC)","75722","0"
"11.01.2015 21:00 - 11.01.2015 22:00 (UTC)","75632","0"
"11.01.2015 22:00 - 11.01.2015 23:00 (UTC)","73182","0"
"11.01.2015 23:00 - 12.01.2015 00:00 (UTC)","70068","0"
"12.01.2015 00:00 - 12.01.2015 01:00 (UTC)","67213","0"
"12.01.2015 01:00 - 12.01.2015 02:00 (UTC)","67272","0"
"12.01.2015 02:00 - 12.01.2015 03:00 (UTC)","67149","0"
"12.01.2015 03:00 - 12.01.2015 04:00 (UTC)","68164","0"
"12.01.2015 04:00 - 12.01.2015 05:00 (UTC)","72661","0"
"12.01.2015 05:00 - 12.01.2015 06:00 (UTC)","82203","0"
"12.01.2015 06:00 - 12.01.2015 07:00 (UTC)","89736","0"
"12.01.2015 07:00 - 12.01.2015 08:00 (UTC)","93543","0"
"12.01.2015 08:00 - 12.01.2015 09:00 (UTC)","94919","0"
"12.01.2015 09:00 - 12.01.2015 10:00 (UTC)","96308","0"
"12.01.2015 10:00 - 12.01.2015 11:00 (UTC)","97412","0"
"12.01.2015 11:00 - 12.01.2015 12:00 (UTC)","97940","0"
"12.01.2015 12:00 - 12.01.2015 13:00 (UTC)","96880","0"
"12.01.2015 13:00 - 12.01.2015 14:00 (UTC)","95404","0"
"12.01.2015 14:00 - 12.01.2015 15:00 (UTC)","93088","0"
"12.01.2015 15:00 - 12.01.2015 16:00 (UTC)","92821","0"
"12.01.2015 16:00 - 12.01.2015 17:00 (UTC)","93433","0"
"12.01.2015 17:00 - 12.01.2015 18:00 (UTC)","92952","0"
"12.01.2015 18:00 - 12.01.2015 19:00 (UTC)","92032","0"
"12.01.2015 19:00 - 12.01.2015 20:00 (UTC)","88523","0"
"12.01.2015 20:00 - 12.01.2015 21:00 (UTC)","83905","0"
"12.01.2015 21:00 - 12.01.2015 22:00 (UTC)","80062","0"
"12.01.2015 22:00 - 12.01.2015 23:00 (UTC)","76527","0"
"12.01.2015 23:00 - 13.01.2015 00:00 (UTC)","70204","0"
"13.01.2015 00:00 - 13.01.2015 01:00 (UTC)","67793","0"
"13.01.2015 01:00 - 13.01.2015 02:00 (UTC)","67489","0"
"13.01.2015 02:00 - 13.01.2015 03:00 (UTC)","67691","0"
"13.01.2015 03:00 - 13.01.2015 04:00 (UTC)","69358","0"
"13.01.2015 04:00 - 13.01.2015 05:00 (UTC)","73797","0"
"13.01.2015 05:00 - 13.01.2015 06:00 (UTC)","80108","0"
"13.01.2015 06:00 - 13.01.2015 07:00 (UTC)","86861","0"
"13.01.2015 07:00 - 13.01.2015 08:00 (UTC)","90308","0"
"13.01.2015 08:00 - 13.01.2015 09:00 (UTC)","92083","0"
"13.01.2015 09:00 - 13.01.2015 10:00 (UTC)","94535","0"
"13.01.2015 10:00 - 13.01.2015 11:00 (UTC)","96729","0"
"13.01.2015 11:00 - 13.01.2015 12:00 (UTC)","96394","0"
"13.01.2015 12:00 - 13.01.2015 13:00 (UTC)","94692","0"
"13.01.2015 13:00 - 13.01.2015 14:00 (UTC)","91492","0"
"13.01.2015 14:00 - 13.01.2015 15:00 (UTC)","88226","0"
"13.01.2015 15:00 - 13.01.2015 16:00 (UTC)","86767","0"
"13.01.2015 16:00 - 13.01.2015 17:00 (UTC)","87696","0"
"13.01.2015 17:00 - 13.01.2015 18:00 (UTC)","85753","0"
"13.01.2015 18:00 - 13.01.2015 19:00 (UTC)","83832","0"
"13.01.2015 19:00 - 13.01.2015 20:00 (UTC)","80306","0"
"13.01.2015 20:00 - 13.01.2015 21:00 (UTC)","76506","0"
"13.01.2015 21:00 - 13.01.2015 22:00 (UTC)","73342","0"
"13.01.2015 22:00 - 13.01.2015 23:00 (UTC)","70360","0"
"13.01.2015 23:00 - 14.01.2015 00:00 (UTC)","72039","0"
"14.01.2015 00:00 - 14.01.2015 01:00 (UTC)","70067","0"
"14.01.2015 01:00 - 14.01.2015 02:00 (UTC)","68613","0"
"14.01.2015 02:00 - 14.01.2015 03:00 (UTC)","68465","0"
"14.01.2015 03:00 - 14.01.2015 04:00 (UTC)","70102","0"
"14.01.2015 04:00 - 14.01.2015 05:00 (UTC)","74072","0"
"14.01.2015 05:00 - 14.01.2015 06:00 (UTC)","81697","0"
"14.01.2015 06:00 - 14.01.2015 07:00 (UTC)","89254","0"
"14.01.2015 07:00 - 14.01.2015 08:00 (UTC)","91520","0"
"14.01.2015 08:00 - 14.01.2015 09:00 (UTC)","93027","0"
"14.01.2015 09:00 - 14.01.2015 10:00 (UTC)","94881","0"
"14.01.2015 10:00 - 14.01.2015 11:00 (UTC)","96807","0"
"14.01.2015 11:00 - 14.01.2015 12:00 (UTC)","96592","0"
"14.01.2015 12:00 - 14.01.2015 13:00 (UTC)","95439","0"
"14.01.2015 13:00 - 14.01.2015 14:00 (UTC)","92968","0"
"14.01.2015 14:00 - 14.01.2015 15:00 (UTC)","90172","0"
"14.01.2015 15:00 - 14.01.2015 16:00 (UTC)","90240","0"
"14.01.2015 16:00 - 14.01.2015 17:00 (UTC)","92098","0"
"14.01.2015 17:00 - 14.01.2015 18:00 (UTC)","91600","0"
"14.01.2015 18:00 - 14.01.2015 19:00 (UTC)","90489","0"
"14.01.2015 19:00 - 14.01.2015 20:00 (UTC)","86917","0"
"14.01.2015 20:00 - 14.01.2015 21:00 (UTC)","84088","0"
"14.01.2015 21:00 - 14.01.2015 22:00 (UTC)","81119","0"
"14.01.2015 22:00 - 14.01.2015 23:00 (UTC)","77582","0"
"14.01.2015 23:00 - 15.01.2015 00:00 (UTC)","70852","0"
"15.01.2015 00:00 - 15.01.2015 01:00 (UTC)","68604","0"
"15.01.2015 01:00 - 15.01.2015 02:00 (UTC)","68710","0"
"15.01.2015 02:00 - 15.01.2015 03:00 (UTC)","68674","0"
"15.01.2015 03:00 - 15.01.2015 04:00 (UTC)","70125","0"
"15.01.2015 04:00 - 15.01.2015 05:00 (UTC)","74708","0"
"15.01.2015 05:00 - 15.01.2015 06:00 (UTC)","82700","0"
"15.01.2015 06:00 - 15.01.2015 07:00 (UTC)","89545","0"
"15.01.2015 07:00 - 15.01.2015 08:00 (UTC)","93030","0"
"15.01.2015 08:00 - 15.01.2015 09:00 (UTC)","93959","0"
"15.01.2015 09:00 - 15.01.2015 10:00 (UTC)","95429","0"
"15.01.2015 10:00 - 15.01.2015 11:00 (UTC)","96262","0"
"15.01.2015 11:00 - 15.01.2015 12:00 (UTC)","96281","0"
"15.01.2015 12:00 - 15.01.2015 13:00 (UTC)","95445","0"
"15.01.2015 13:00 - 15.01.2015 14:00 (UTC)","93669","0"
"15.01.2015 14:00 - 15.01.2015 15:00 (UTC)","91624","0"
"15.01.2015 15:00 - 15.01.2015 16:00 (UTC)","90719","0"
"15.01.2015 16:00 - 15.01.2015 17:00 (UTC)","91721","0"
"15.01.2015 17:00 - 15.01.2015 18:00 (UTC)","91352","0"
"15.01.2015 18:00 - 15.01.2015 19:00 (UTC)","90075","0"
"15.01.2015 19:00 - 15.01.2015 20:00 (UTC)","86182","0"
"15.01.2015 20:00 - 15.01.2015 21:00 (UTC)","81834","0"
"15.01.2015 21:00 - 15.01.2015 22:00 (UTC)","78567","0"
"15.01.2015 22:00 - 15.01.2015 23:00 (UTC)","73658","0"
"15.01.2015 23:00 - 16.01.2015 00:00 (UTC)","68218","0"
"16.01.2015 00:00 - 16.01.2015 01:00 (UTC)","66177","0"
"16.01.2015 01:00 - 16.01.2015 02:00 (UTC)","65090","0"
"16.01.2015 02:00 - 16.01.2015 03:00 (UTC)","64714","0"
"16.01.2015 03:00 - 16.01.2015 04:00 (UTC)","65421","0"
"16.01.2015 04:00 - 16.01.2015 05:00 (UTC)","69619","0"
"16.01.2015 05:00 - 16.01.2015 06:00 (UTC)","78149","0"
"16.01.2015 06:00 - 16.01.2015 07:00 (UTC)","85884","0"
"16.01.2015 07:00 - 16.01.2015 08:00 (UTC)","89364","0"
"16.01.2015 08:00 - 16.01.2015 09:00 (UTC)","90580","0"
"16.01.2015 09:00 - 16.01.2015 10:00 (UTC)","91964","0"
"16.01.2015 10:00 - 16.01.2015 11:00 (UTC)","92483","0"
"16.01.2015 11:00 - 16.01.2015 12:00 (UTC)","91853","0"
"16.01.2015 12:00 - 16.01.2015 13:00 (UTC)","89419","0"
"16.01.2015 13:00 - 16.01.2015 14:00 (UTC)","86714","0"
