"MTU","Scheduled Generation [MW] (D) - BZN|DE-AT-LU","Scheduled Consumption [MW] (D) - BZN|DE-AT-LU"
"01.01.2015 00:00 - 01.01.2015 01:00 (UTC)","57681","0"
"01.01.2015 01:00 - 01.01.2015 02:00 (UTC)","56256","0"
"01.01.2015 02:00 - 01.01.2015 03:00 (UTC)","54432","0"
"01.01.2015 03:00 - 01.01.2015 04:00 (UTC)","54522","0"
"01.01.2015 04:00 - 01.01.2015 05:00 (UTC)","53811","0"
"01.01.2015 05:00 - 01.01.2015 06:00 (UTC)","52771","0"
"01.01.2015 06:00 - 01.01.2015 07:00 (UTC)","53408","0"
"01.01.2015 07:00 - 01.01.2015 08:00 (UTC)","56291","0"
"01.01.2015 08:00 - 01.01.2015 09:00 (UTC)","61264","0"
"01.01.2015 09:00 - 01.01.2015 10:00 (UTC)","65848","0"
"01.01.2015 10:00 - 01.01.2015 11:00 (UTC)","69141","0"
"01.01.2015 11:00 - 01.01.2015 12:00 (UTC)","69983","0"
"01.01.2015 12:00 - 01.01.2015 13:00 (UTC)","67631","0"
"01.01.2015 13:00 - 01.01.2015 14:00 (UTC)","65583","0"
"01.01.2015 14:00 - 01.01.2015 15:00 (UTC)","64276","0"
"01.01.2015 15:00 - 01.01.2015 16:00 (UTC)","65997","0"
"01.01.2015 16:00 - 01.01.2015 17:00 (UTC)","68652","0"
"01.01.2015 17:00 - 01.01.2015 18:00 (UTC)","69980","0"
"01.01.2015 18:00 - 01.01.2015 19:00 (UTC)","69978","0"
"01.01.2015 19:00 - 01.01.2015 20:00 (UTC)","68926","0"
"01.01.2015 20:00 - 01.01.2015 21:00 (UTC)","66316","0"
"01.01.2015 21:00 - 01.01.2015 22:00 (UTC)","65582","0"
"01.01.2015 22:00 - 01.01.2015 23:00 (UTC)","63770","0"
"01.01.2015 23:00 - 02.01.2015 00:00 (UTC)","63834","0"
"02.01.2015 00:00 - 02.01.2015 01:00 (UTC)","62544","0"
"02.01.2015 01:00 - 02.01.2015 02:00 (UTC)","62309","0"
"02.01.2015 02:00 - 02.01.2015 03:00 (UTC)","63279","0"
"02.01.2015 03:00 - 02.01.2015 04:00 (UTC)","64403","0"
"02.01.2015 04:00 - 02.01.2015 05:00 (UTC)","66815","0"
"02.01.2015 05:00 - 02.01.2015 06:00 (UTC)","71250","0"
"02.01.2015 06:00 - 02.01.2015 07:00 (UTC)","75285","0"
"02.01.2015 07:00 - 02.01.2015 08:00 (UTC)","78816","0"
"02.01.2015 08:00 - 02.01.2015 09:00 (UTC)","81312","0"
"02.01.2015 09:00 - 02.01.2015 10:00 (UTC)","82601","0"
"02.01.2015 10:00 - 02.01.2015 11:00 (UTC)","83512","0"
"02.01.2015 11:00 - 02.01.2015 12:00 (UTC)","83293","0"
"02.01.2015 12:00 - 02.01.2015 13:00 (UTC)","81828","0"
"02.01.2015 13:00 - 02.01.2015 14:00 (UTC)","79928","0"
"02.01.2015 14:00 - 02.01.2015 15:00 (UTC)","78468","0"
"02.01.2015 15:00 - 02.01.2015 16:00 (UTC)","79672","0"
"02.01.2015 16:00 - 02.01.2015 17:00 (UTC)","82186","0"
"02.01.2015 17:00 - 02.01.2015 18:00 (UTC)","81919","0"
"02.01.2015 18:00 - 02.01.2015 19:00 (UTC)","80447","0"
"02.01.2015 19:00 - 02.01.2015 20:00 (UTC)","76979","0"
"02.01.2015 20:00 - 02.01.2015 21:00 (UTC)","72940","0"
"02.01.2015 21:00 - 02.01.2015 22:00 (UTC)","71035","0"
"02.01.2015 22:00 - 02.01.2015 23:00 (UTC)","67675","0"
"02.01.2015 23:00 - 03.01.2015 00:00 (UTC)","65210","0"
"03.01.2015 00:00 - 03.01.2015 01:00 (UTC)","62958","0"
"03.01.2015 01:00 - 03.01.2015 02:00 (UTC)","60853","0"
"03.01.2015 02:00 - 03.01.2015 03:00 (UTC)","60565","0"
"03.01.2015 03:00 - 03.01.2015 04:00 (UTC)","60386","0"
"03.01.2015 04:00 - 03.01.2015 05:00 (UTC)","60414","0"
"03.01.2015 05:00 - 03.01.2015 06:00 (UTC)","61727","0"
"03.01.2015 06:00 - 03.01.2015 07:00 (UTC)","64456","0"
"03.01.2015 07:00 - 03.01.2015 08:00 (UTC)","67425","0"
"03.01.2015 08:00 - 03.01.2015 09:00 (UTC)","72147","0"
"03.01.2015 09:00 - 03.01.2015 10:00 (UTC)","74754","0"
"03.01.2015 10:00 - 03.01.2015 11:00 (UTC)","75289","0"
"03.01.2015 11:00 - 03.01.2015 12:00 (UTC)","74754","0"
"03.01.2015 12:00 - 03.01.2015 13:00 (UTC)","74214","0"
"03.01.2015 13:00 - 03.01.2015 14:00 (UTC)","71765","0"
"03.01.2015 14:00 - 03.01.2015 15:00 (UTC)","69972","0"
"03.01.2015 15:00 - 03.01.2015 16:00 (UTC)","71084","0"
"03.01.2015 16:00 - 03.01.2015 17:00 (UTC)","72978","0"
"03.01.2015 17:00 - 03.01.2015 18:00 (UTC)","73984","0"
"03.01.2015 18:00 - 03.01.2015 19:00 (UTC)","74085","0"
"03.01.2015 19:00 - 03.01.2015 20:00 (UTC)","70828","0"
"03.01.2015 20:00 - 03.01.2015 21:00 (UTC)","68837","0"
"03.01.2015 21:00 - 03.01.2015 22:00 (UTC)","68504","0"
"03.01.2015 22:00 - 03.01.2015 23:00 (UTC)","66149","0"
"03.01.2015 23:00 - 04.01.2015 00:00 (UTC)","62815","0"
"04.01.2015 00:00 - 04.01.2015 01:00 (UTC)","59621","0"
"04.01.2015 01:00 - 04.01.2015 02:00 (UTC)","58153","0"
"04.01.2015 02:00 - 04.01.2015 03:00 (UTC)","57700","0"
"04.01.2015 03:00 - 04.01.2015 04:00 (UTC)","57891","0"
"04.01.2015 04:00 - 04.01.2015 05:00 (UTC)","57627","0"
"04.01.2015 05:00 - 04.01.2015 06:00 (UTC)","56887","0"
"04.01.2015 06:00 - 04.01.2015 07:00 (UTC)","58825","0"
"04.01.2015 07:00 - 04.01.2015 08:00 (UTC)","62224","0"
"04.01.2015 08:00 - 04.01.2015 09:00 (UTC)","67745","0"
"04.01.2015 09:00 - 04.01.2015 10:00 (UTC)","71811","0"
"04.01.2015 10:00 - 04.01.2015 11:00 (UTC)","75268","0"
"04.01.2015 11:00 - 04.01.2015 12:00 (UTC)","75310","0"
"04.01.2015 12:00 - 04.01.2015 13:00 (UTC)","73476","0"
"04.01.2015 13:00 - 04.01.2015 14:00 (UTC)","69217","0"
"04.01.2015 14:00 - 04.01.2015 15:00 (UTC)","67691","0"
"04.01.2015 15:00 - 04.01.2015 16:00 (UTC)","69303","0"
"04.01.2015 16:00 - 04.01.2015 17:00 (UTC)","72420","0"
"04.01.2015 17:00 - 04.01.2015 18:00 (UTC)","72634","0"
"04.01.2015 18:00 - 04.01.2015 19:00 (UTC)","72071","0"
"04.01.2015 19:00 - 04.01.2015 20:00 (UTC)","70553","0"
"04.01.2015 20:00 - 04.01.2015 21:00 (UTC)","68440","0"
"04.01.2015 21:00 - 04.01.2015 22:00 (UTC)","66450","0"
"04.01.2015 22:00 - 04.01.2015 23:00 (UTC)","64988","0"
"04.01.2015 23:00 - 05.01.2015 00:00 (UTC)","63674","0"
"05.01.2015 00:00 - 05.01.2015 01:00 (UTC)","61636","0"
"05.01.2015 01:00 - 05.01.2015 02:00 (UTC)","60500","0"
"05.01.2015 02:00 - 05.01.2015 03:00 (UTC)","60502","0"
"05.01.2015 03:00 - 05.01.2015 04:00 (UTC)","61940","0"
"05.01.2015 04:00 - 05.01.2015 05:00 (UTC)","65843","0"
"05.01.2015 05:00 - 05.01.2015 06:00 (UTC)","72105","0"
"05.01.2015 06:00 - 05.01.2015 07:00 (UTC)","79314","0"
"05.01.2015 07:00 - 05.01.2015 08:00 (UTC)","83985","0"
"05.01.2015 08:00 - 05.01.2015 09:00 (UTC)","85454","0"
"05.01.2015 09:00 - 05.01.2015 10:00 (UTC)","87769","0"
"05.01.2015 10:00 - 05.01.2015 11:00 (UTC)","89285","0"
"05.01.2015 11:00 - 05.01.2015 12:00 (UTC)","89510","0"
"05.01.2015 12:00 - 05.01.2015 13:00 (UTC)","88572","0"
"05.01.2015 13:00 - 05.01.2015 14:00 (UTC)","85496","0"
"05.01.2015 14:00 - 05.01.2015 15:00 (UTC)","82058","0"
"05.01.2015 15:00 - 05.01.2015 16:00 (UTC)","82939","0"
