"MTU","Scheduled Generation [MW] (D) - BZN|ES","Scheduled Consumption [MW] (D) - BZN|ES"
"01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","18620","331"
"01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","18076","862"
"01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","17907","1850"
"01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","17772","2495"
"01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","18216","2662"
"01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","18918","3090"
"01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","19996","3424"
"01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","20708","3432"
"01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","21449","3625"
"01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","22239","2921"
"01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","23298","2684"
"01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","24059","2684"
"01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","24610","2684"
"01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","24973","2785"
"01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","25146","2965"
"01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","25080","3274"
"01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","24935","2785"
"01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","25258","596"
"01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","25844","180"
"01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","25918","596"
"01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","25839","1103"
"01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","25865","1012"
"01.01.2016 22:00 - 01.01.2016 23:00 (UTC)","25640","2273"
"01.01.2016 23:00 - 02.01.2016 00:00 (UTC)","24669","2746"
"02.01.2016 00:00 - 02.01.2016 01:00 (UTC)","24339","2996"
"02.01.2016 01:00 - 02.01.2016 02:00 (UTC)","23915","3113"
"02.01.2016 02:00 - 02.01.2016 03:00 (UTC)","23777","3345"
"02.01.2016 03:00 - 02.01.2016 04:00 (UTC)","23566","3555"
"02.01.2016 04:00 - 02.01.2016 05:00 (UTC)","23683","3555"
"02.01.2016 05:00 - 02.01.2016 06:00 (UTC)","23912","3338"
"02.01.2016 06:00 - 02.01.2016 07:00 (UTC)","23901","3005"
"02.01.2016 07:00 - 02.01.2016 08:00 (UTC)","23958","2851"
"02.01.2016 08:00 - 02.01.2016 09:00 (UTC)","24620","1849"
"02.01.2016 09:00 - 02.01.2016 10:00 (UTC)","25396","532"
"02.01.2016 10:00 - 02.01.2016 11:00 (UTC)","26179","537"
"02.01.2016 11:00 - 02.01.2016 12:00 (UTC)","26910","1359"
"02.01.2016 12:00 - 02.01.2016 13:00 (UTC)","26911","976"
"02.01.2016 13:00 - 02.01.2016 14:00 (UTC)","26778","1132"
"02.01.2016 14:00 - 02.01.2016 15:00 (UTC)","26264","1652"
"02.01.2016 15:00 - 02.01.2016 16:00 (UTC)","24837","827"
"02.01.2016 16:00 - 02.01.2016 17:00 (UTC)","23970","151"
"02.01.2016 17:00 - 02.01.2016 18:00 (UTC)","25370","0"
"02.01.2016 18:00 - 02.01.2016 19:00 (UTC)","26220","0"
"02.01.2016 19:00 - 02.01.2016 20:00 (UTC)","26260","0"
"02.01.2016 20:00 - 02.01.2016 21:00 (UTC)","26045","0"
"02.01.2016 21:00 - 02.01.2016 22:00 (UTC)","24926","0"
"02.01.2016 22:00 - 02.01.2016 23:00 (UTC)","23712","0"
"02.01.2016 23:00 - 03.01.2016 00:00 (UTC)","23192","319"
"03.01.2016 00:00 - 03.01.2016 01:00 (UTC)","23130","2217"
"03.01.2016 01:00 - 03.01.2016 02:00 (UTC)","23254","2449"
"03.01.2016 02:00 - 03.01.2016 03:00 (UTC)","22906","3030"
"03.01.2016 03:00 - 03.01.2016 04:00 (UTC)","23099","3272"
"03.01.2016 04:00 - 03.01.2016 05:00 (UTC)","23674","3133"
"03.01.2016 05:00 - 03.01.2016 06:00 (UTC)","22785","3631"
"03.01.2016 06:00 - 03.01.2016 07:00 (UTC)","24179","3336"
"03.01.2016 07:00 - 03.01.2016 08:00 (UTC)","24570","2943"
"03.01.2016 08:00 - 03.01.2016 09:00 (UTC)","25281","2567"
"03.01.2016 09:00 - 03.01.2016 10:00 (UTC)","25711","2040"
"03.01.2016 10:00 - 03.01.2016 11:00 (UTC)","27129","1214"
"03.01.2016 11:00 - 03.01.2016 12:00 (UTC)","27924","1065"
"03.01.2016 12:00 - 03.01.2016 13:00 (UTC)","28267","1690"
"03.01.2016 13:00 - 03.01.2016 14:00 (UTC)","27948","2157"
"03.01.2016 14:00 - 03.01.2016 15:00 (UTC)","27916","2394"
"03.01.2016 15:00 - 03.01.2016 16:00 (UTC)","27757","2394"
"03.01.2016 16:00 - 03.01.2016 17:00 (UTC)","27817","1803"
"03.01.2016 17:00 - 03.01.2016 18:00 (UTC)","27973","233"
"03.01.2016 18:00 - 03.01.2016 19:00 (UTC)","28587","233"
"03.01.2016 19:00 - 03.01.2016 20:00 (UTC)","28499","233"
"03.01.2016 20:00 - 03.01.2016 21:00 (UTC)","27895","571"
"03.01.2016 21:00 - 03.01.2016 22:00 (UTC)","27483","734"
"03.01.2016 22:00 - 03.01.2016 23:00 (UTC)","27036","1898"
"03.01.2016 23:00 - 04.01.2016 00:00 (UTC)","27421","1645"
"04.01.2016 00:00 - 04.01.2016 01:00 (UTC)","26381","1948"
"04.01.2016 01:00 - 04.01.2016 02:00 (UTC)","25405","2641"
"04.01.2016 02:00 - 04.01.2016 03:00 (UTC)","24599","2907"
"04.01.2016 03:00 - 04.01.2016 04:00 (UTC)","24029","3178"
"04.01.2016 04:00 - 04.01.2016 05:00 (UTC)","24800","2319"
"04.01.2016 05:00 - 04.01.2016 06:00 (UTC)","24927","1348"
"04.01.2016 06:00 - 04.01.2016 07:00 (UTC)","24479","65"
"04.01.2016 07:00 - 04.01.2016 08:00 (UTC)","24573","175"
"04.01.2016 08:00 - 04.01.2016 09:00 (UTC)","26056","0"
"04.01.2016 09:00 - 04.01.2016 10:00 (UTC)","27972","0"
"04.01.2016 10:00 - 04.01.2016 11:00 (UTC)","27826","0"
"04.01.2016 11:00 - 04.01.2016 12:00 (UTC)","27515","0"
"04.01.2016 12:00 - 04.01.2016 13:00 (UTC)","27888","17"
"04.01.2016 13:00 - 04.01.2016 14:00 (UTC)","27260","90"
"04.01.2016 14:00 - 04.01.2016 15:00 (UTC)","26912","90"
"04.01.2016 15:00 - 04.01.2016 16:00 (UTC)","26731","233"
"04.01.2016 16:00 - 04.01.2016 17:00 (UTC)","28901","0"
"04.01.2016 17:00 - 04.01.2016 18:00 (UTC)","30442","0"
"04.01.2016 18:00 - 04.01.2016 19:00 (UTC)","30098","0"
"04.01.2016 19:00 - 04.01.2016 20:00 (UTC)","29207","0"
"04.01.2016 20:00 - 04.01.2016 21:00 (UTC)","28914","90"
"04.01.2016 21:00 - 04.01.2016 22:00 (UTC)","27263","214"
"04.01.2016 22:00 - 04.01.2016 23:00 (UTC)","26645","798"
"04.01.2016 23:00 - 05.01.2016 00:00 (UTC)","26572","986"
"05.01.2016 00:00 - 05.01.2016 01:00 (UTC)","27015","2863"
"05.01.2016 01:00 - 05.01.2016 02:00 (UTC)","26334","3271"
"05.01.2016 02:00 - 05.01.2016 03:00 (UTC)","25695","3335"
"05.01.2016 03:00 - 05.01.2016 04:00 (UTC)","25501","3335"
"05.01.2016 04:00 - 05.01.2016 05:00 (UTC)","25348","2962"
"05.01.2016 05:00 - 05.01.2016 06:00 (UTC)","25050","1650"
"05.01.2016 06:00 - 05.01.2016 07:00 (UTC)","26499","143"
"05.01.2016 07:00 - 05.01.2016 08:00 (UTC)","28723","66"
"05.01.2016 08:00 - 05.01.2016 09:00 (UTC)","29675","53"
"05.01.2016 09:00 - 05.01.2016 10:00 (UTC)","30549","106"
"05.01.2016 10:00 - 05.01.2016 11:00 (UTC)","31258","53"
"05.01.2016 11:00 - 05.01.2016 12:00 (UTC)","31690","0"
"05.01.2016 12:00 - 05.01.2016 13:00 (UTC)","31235","143"
"05.01.2016 13:00 - 05.01.2016 14:00 (UTC)","31232","196"
"05.01.2016 14:00 - 05.01.2016 15:00 (UTC)","30787","196"
"05.01.2016 15:00 - 05.01.2016 16:00 (UTC)","30109","196"
"05.01.2016 16:00 - 05.01.2016 17:00 (UTC)","30143","53"
"05.01.2016 17:00 - 05.01.2016 18:00 (UTC)","31291","53"
"05.01.2016 18:00 - 05.01.2016 19:00 (UTC)","31216","53"
"05.01.2016 19:00 - 05.01.2016 20:00 (UTC)","30328","0"
"05.01.2016 20:00 - 05.01.2016 21:00 (UTC)","29286","106"
"05.01.2016 21:00 - 05.01.2016 22:00 (UTC)","28557","196"
"05.01.2016 22:00 - 05.01.2016 23:00 (UTC)","27866","0"
"05.01.2016 23:00 - 06.01.2016 00:00 (UTC)","28401","1389"
"06.01.2016 00:00 - 06.01.2016 01:00 (UTC)","27796","2307"
"06.01.2016 01:00 - 06.01.2016 02:00 (UTC)","27121","3317"
"06.01.2016 02:00 - 06.01.2016 03:00 (UTC)","26250","3441"
"06.01.2016 03:00 - 06.01.2016 04:00 (UTC)","25837","3477"
"06.01.2016 04:00 - 06.01.2016 05:00 (UTC)","25936","3477"
"06.01.2016 05:00 - 06.01.2016 06:00 (UTC)","26492","3530"
"06.01.2016 06:00 - 06.01.2016 07:00 (UTC)","27281","3320"
"06.01.2016 07:00 - 06.01.2016 08:00 (UTC)","27766","3214"
"06.01.2016 08:00 - 06.01.2016 09:00 (UTC)","28236","2076"
"06.01.2016 09:00 - 06.01.2016 10:00 (UTC)","29404","1226"
"06.01.2016 10:00 - 06.01.2016 11:00 (UTC)","30585","1605"
"06.01.2016 11:00 - 06.01.2016 12:00 (UTC)","31393","2166"
"06.01.2016 12:00 - 06.01.2016 13:00 (UTC)","31549","2090"
"06.01.2016 13:00 - 06.01.2016 14:00 (UTC)","31276","2166"
"06.01.2016 14:00 - 06.01.2016 15:00 (UTC)","30252","2130"
"06.01.2016 15:00 - 06.01.2016 16:00 (UTC)","29458","2130"
"06.01.2016 16:00 - 06.01.2016 17:00 (UTC)","28972","1880"
"06.01.2016 17:00 - 06.01.2016 18:00 (UTC)","29445","529"
"06.01.2016 18:00 - 06.01.2016 19:00 (UTC)","29651","0"
"06.01.2016 19:00 - 06.01.2016 20:00 (UTC)","30229","0"
"06.01.2016 20:00 - 06.01.2016 21:00 (UTC)","30659","0"
"06.01.2016 21:00 - 06.01.2016 22:00 (UTC)","29846","0"
"06.01.2016 22:00 - 06.01.2016 23:00 (UTC)","29481","1512"
"06.01.2016 23:00 - 07.01.2016 00:00 (UTC)","28148","2279"
"07.01.2016 00:00 - 07.01.2016 01:00 (UTC)","27630","3373"
"07.01.2016 01:00 - 07.01.2016 02:00 (UTC)","25982","3398"
"07.01.2016 02:00 - 07.01.2016 03:00 (UTC)","25387","3540"
"07.01.2016 03:00 - 07.01.2016 04:00 (UTC)","25281","3540"
"07.01.2016 04:00 - 07.01.2016 05:00 (UTC)","25759","3503"
"07.01.2016 05:00 - 07.01.2016 06:00 (UTC)","27340","2964"
"07.01.2016 06:00 - 07.01.2016 07:00 (UTC)","27341","191"
"07.01.2016 07:00 - 07.01.2016 08:00 (UTC)","29996","0"
"07.01.2016 08:00 - 07.01.2016 09:00 (UTC)","30982","0"
"07.01.2016 09:00 - 07.01.2016 10:00 (UTC)","31309","0"
"07.01.2016 10:00 - 07.01.2016 11:00 (UTC)","31766","0"
"07.01.2016 11:00 - 07.01.2016 12:00 (UTC)","31606","0"
"07.01.2016 12:00 - 07.01.2016 13:00 (UTC)","31569","0"
"07.01.2016 13:00 - 07.01.2016 14:00 (UTC)","30683","71"
"07.01.2016 14:00 - 07.01.2016 15:00 (UTC)","29129","106"
"07.01.2016 15:00 - 07.01.2016 16:00 (UTC)","29257","53"
"07.01.2016 16:00 - 07.01.2016 17:00 (UTC)","30731","0"
"07.01.2016 17:00 - 07.01.2016 18:00 (UTC)","31706","0"
"07.01.2016 18:00 - 07.01.2016 19:00 (UTC)","31714","0"
"07.01.2016 19:00 - 07.01.2016 20:00 (UTC)","30207","106"
"07.01.2016 20:00 - 07.01.2016 21:00 (UTC)","29050","53"
"07.01.2016 21:00 - 07.01.2016 22:00 (UTC)","27877","74"
"07.01.2016 22:00 - 07.01.2016 23:00 (UTC)","27070","0"
"07.01.2016 23:00 - 08.01.2016 00:00 (UTC)","27156","2674"
"08.01.2016 00:00 - 08.01.2016 01:00 (UTC)","26676","2940"
"08.01.2016 01:00 - 08.01.2016 02:00 (UTC)","26411","3113"
"08.01.2016 02:00 - 08.01.2016 03:00 (UTC)","25978","3290"
"08.01.2016 03:00 - 08.01.2016 04:00 (UTC)","25642","3288"
"08.01.2016 04:00 - 08.01.2016 05:00 (UTC)","25254","3139"
"08.01.2016 05:00 - 08.01.2016 06:00 (UTC)","24948","2333"
"08.01.2016 06:00 - 08.01.2016 07:00 (UTC)","26118","53"
"08.01.2016 07:00 - 08.01.2016 08:00 (UTC)","27520","0"
"08.01.2016 08:00 - 08.01.2016 09:00 (UTC)","27834","53"
"08.01.2016 09:00 - 08.01.2016 10:00 (UTC)","28810","53"
"08.01.2016 10:00 - 08.01.2016 11:00 (UTC)","29158","53"
"08.01.2016 11:00 - 08.01.2016 12:00 (UTC)","28839","53"
"08.01.2016 12:00 - 08.01.2016 13:00 (UTC)","28774","53"
"08.01.2016 13:00 - 08.01.2016 14:00 (UTC)","28688","381"
"08.01.2016 14:00 - 08.01.2016 15:00 (UTC)","28115","413"
"08.01.2016 15:00 - 08.01.2016 16:00 (UTC)","28503","6"
"08.01.2016 16:00 - 08.01.2016 17:00 (UTC)","29896","0"
"08.01.2016 17:00 - 08.01.2016 18:00 (UTC)","30092","0"
"08.01.2016 18:00 - 08.01.2016 19:00 (UTC)","30075","0"
"08.01.2016 19:00 - 08.01.2016 20:00 (UTC)","29683","0"
"08.01.2016 20:00 - 08.01.2016 21:00 (UTC)","28986","0"
"08.01.2016 21:00 - 08.01.2016 22:00 (UTC)","27373","0"
"08.01.2016 22:00 - 08.01.2016 23:00 (UTC)","25476","0"
"08.01.2016 23:00 - 09.01.2016 00:00 (UTC)","25770","1129"
"09.01.2016 00:00 - 09.01.2016 01:00 (UTC)","25144","1425"
"09.01.2016 01:00 - 09.01.2016 02:00 (UTC)","24705","2144"
"09.01.2016 02:00 - 09.01.2016 03:00 (UTC)","24369","2473"
"09.01.2016 03:00 - 09.01.2016 04:00 (UTC)","24550","2656"
"09.01.2016 04:00 - 09.01.2016 05:00 (UTC)","24555","2568"
"09.01.2016 05:00 - 09.01.2016 06:00 (UTC)","24831","2568"
"09.01.2016 06:00 - 09.01.2016 07:00 (UTC)","25338","2442"
"09.01.2016 07:00 - 09.01.2016 08:00 (UTC)","25476","1405"
"09.01.2016 08:00 - 09.01.2016 09:00 (UTC)","27085","280"
"09.01.2016 09:00 - 09.01.2016 10:00 (UTC)","28354","280"
"09.01.2016 10:00 - 09.01.2016 11:00 (UTC)","29460","280"
"09.01.2016 11:00 - 09.01.2016 12:00 (UTC)","30487","937"
"09.01.2016 12:00 - 09.01.2016 13:00 (UTC)","30929","1160"
"09.01.2016 13:00 - 09.01.2016 14:00 (UTC)","30799","1414"
"09.01.2016 14:00 - 09.01.2016 15:00 (UTC)","30269","1948"
"09.01.2016 15:00 - 09.01.2016 16:00 (UTC)","29494","1948"
"09.01.2016 16:00 - 09.01.2016 17:00 (UTC)","28751","1196"
"09.01.2016 17:00 - 09.01.2016 18:00 (UTC)","29490","210"
"09.01.2016 18:00 - 09.01.2016 19:00 (UTC)","29685","280"
"09.01.2016 19:00 - 09.01.2016 20:00 (UTC)","29813","1352"
"09.01.2016 20:00 - 09.01.2016 21:00 (UTC)","29782","1448"
"09.01.2016 21:00 - 09.01.2016 22:00 (UTC)","29433","1466"
"09.01.2016 22:00 - 09.01.2016 23:00 (UTC)","29150","1948"
"09.01.2016 23:00 - 10.01.2016 00:00 (UTC)","28691","1860"
"10.01.2016 00:00 - 10.01.2016 01:00 (UTC)","27176","2483"
"10.01.2016 01:00 - 10.01.2016 02:00 (UTC)","25604","2587"
"10.01.2016 02:00 - 10.01.2016 03:00 (UTC)","24921","2989"
"10.01.2016 03:00 - 10.01.2016 04:00 (UTC)","24649","3185"
"10.01.2016 04:00 - 10.01.2016 05:00 (UTC)","24469","3189"
"10.01.2016 05:00 - 10.01.2016 06:00 (UTC)","24261","2979"
"10.01.2016 06:00 - 10.01.2016 07:00 (UTC)","24544","2779"
"10.01.2016 07:00 - 10.01.2016 08:00 (UTC)","25373","2587"
"10.01.2016 08:00 - 10.01.2016 09:00 (UTC)","26662","2586"
"10.01.2016 09:00 - 10.01.2016 10:00 (UTC)","28904","2341"
"10.01.2016 10:00 - 10.01.2016 11:00 (UTC)","29719","1790"
"10.01.2016 11:00 - 10.01.2016 12:00 (UTC)","30139","1842"
"10.01.2016 12:00 - 10.01.2016 13:00 (UTC)","30382","1724"
"10.01.2016 13:00 - 10.01.2016 14:00 (UTC)","30139","1724"
"10.01.2016 14:00 - 10.01.2016 15:00 (UTC)","29511","2056"
"10.01.2016 15:00 - 10.01.2016 16:00 (UTC)","28794","2056"
"10.01.2016 16:00 - 10.01.2016 17:00 (UTC)","28510","1776"
"10.01.2016 17:00 - 10.01.2016 18:00 (UTC)","29051","1236"
"10.01.2016 18:00 - 10.01.2016 19:00 (UTC)","30092","1003"
"10.01.2016 19:00 - 10.01.2016 20:00 (UTC)","29907","1003"
"10.01.2016 20:00 - 10.01.2016 21:00 (UTC)","30111","1208"
"10.01.2016 21:00 - 10.01.2016 22:00 (UTC)","30322","1208"
"10.01.2016 22:00 - 10.01.2016 23:00 (UTC)","29764","1388"
"10.01.2016 23:00 - 11.01.2016 00:00 (UTC)","28351","1554"
"11.01.2016 00:00 - 11.01.2016 01:00 (UTC)","26762","1998"
"11.01.2016 01:00 - 11.01.2016 02:00 (UTC)","26412","2973"
"11.01.2016 02:00 - 11.01.2016 03:00 (UTC)","25672","2973"
"11.01.2016 03:00 - 11.01.2016 04:00 (UTC)","25434","2973"
"11.01.2016 04:00 - 11.01.2016 05:00 (UTC)","26083","2973"
"11.01.2016 05:00 - 11.01.2016 06:00 (UTC)","27615","1903"
"11.01.2016 06:00 - 11.01.2016 07:00 (UTC)","30085","1014"
